ItemType,Title,Author,AccessionedDate,OwningLibrary,ReplacementPrice,MissingStatus,MissingDate,CallNumber,PageCount,ItemSize,DateLastBorrowed,Genre,ShelvingLocation,
DVD,The secret life of pets ,,1/5/17,ACL,29.99,4,6/13/19 13:33,DVD Feature films Sec,1 videodisc (87 min.) :,4 3/4 in.,6/13/19,Fiction,AdultAV,
BLU-RAY,Leap! ,,11/21/17,ACL,19.99,4,6/11/19 14:28,Blu-ray Feature films Lea,1 Blu-ray disc (approximately 89 min.) :,4 3/4 in. ,6/11/19,Fiction,AdultAV,
DVD,The school of rock ,,2/14/18,ACL,11.99,4,4/15/19 14:41,DVD Feature films Sch,1 videodisc (approximately 109 min.) :,4 3/4 in.,4/15/19,Fiction,AdultAV,
DVD,Despicable me,,4/9/18,ACL,35.99,4,6/26/19 11:31,DVD Feature films Des,1 videodisc (95 min.) :,4 3/4 in.,6/26/19,Fiction,AdultAV,
DVD,Hot tub time machine ,,5/23/18,ACL,15,4,4/3/19 13:42,DVD Feature films Hot,1 videodisc (99 min.) :,4 3/4 in.,4/3/19,Fiction,AdultAV,
DVD,WALL-E,,6/11/14,ACL,24.99,4,6/26/19 11:32,DVD Feature films Wal,1 videodisc (98 min.) :,4 3/4 in.,6/26/19,Fiction,AdultAV,
DVD,Peter Rabbit,,7/18/18,ACL,21,4,1/3/19 16:22,DVD Feature films Pet,1 DVD videodisc (95 min.) :,4 3/4 in.,1/3/19,Fiction,AdultAV,
DVD,War ,,7/18/18,ACL,11,4,4/18/19 14:32,DVD Feature films War,1 videodisc (approximately 103 min.) :,4 3/4 in.,4/18/19,Fiction,AdultAV,
DVD,Ready player one ,,7/25/18,ACL,40.99,4,1/8/19 13:33,DVD Feature films Rea,1 DVD disc (140 min.) :,4 3/4 in. ,1/8/19,Fiction,AdultAV,
BLU-RAY,Ready player one ,,7/25/18,ACL,40.99,4,6/13/19 13:31,Blu-ray Feature films Rea,1 Blu-ray disc (140 min.) :,"4 3/4 in. + 1 videodisc (140 min.) : DVD video, sound, color ; 4 3/4 in.",6/13/19,Fiction,AdultAV,
DVD,Deadpool 2,,8/24/18,ACL,29.95,4,2/8/19 9:52,DVD Feature films Dea 2,1 videodisc (119 min.) :,4 3/4 in.,2/8/19,Fiction,AdultAV,
DVD,Avengers.,,10/11/18,ACL,34.99,4,4/24/19 11:43,DVD Feature film Ave,1 videodisc (approximately 149 minutes) :,4 3/4 in.,4/24/19,Fiction,AdultAV,
DVD,Transformers: Beginnings,,10/18/18,ACL,15,4,1/11/19 12:07,DVD Feature film Beg,1 videodisc (19 min.) :,4 3/4 in.,1/11/19,Fiction,AdultAV,
DVD,"Larry the cable guy, health inspector.",,10/18/18,ACL,15,4,1/14/19 16:51,DVD Feature film Lar,1 videodisc (approximately 90 min.) :,4 3/4 in.,1/14/19,Fiction,AdultAV,
BOOK,Archenemies /,"Meyer, Marissa,",11/27/18,ACL,25,4,7/1/19 13:38,Y Fic Mey,474 pages ;,25 cm.,7/1/19,Fiction,YoungAdult,
DVD,Zoom ,,12/27/18,ACL,27,4,3/11/19 13:40,DVD Feature film Zoo,1 videodisc (88 min.) :,4 3/4 in.,3/11/19,Fiction,AdultAV,
DVD,Venom ,,1/8/19,ACL,36,4,7/5/19 9:22,DVD Feature film Ven,1 videodisc (approximately 112 min.) :,4 3/4 in.,5/3/19,Fiction,AdultAV,
DVD,Holes,,1/28/19,ACL,14.99,4,4/12/19 13:27,DVD Feature films Hol,1 videodisc (117 min.) :,4 3/4 in.,4/12/19,Fiction,AdultAV,
BLU-RAY,Halloween ,,1/31/19,ACL,23,4,4/9/19 12:01,Blu-ray Feature films Hal,"1 Blu-ray disc (1 hr., 46 min.) :",4 3/4 in.,3/30/19,Fiction,AdultAV,
